unique_id,journal_name,special_issue,key_topics
2025-1267-gendered-violence,Women's Studies: An Interdisciplinary Journal,True,"Gendered Violence, Intersectional Perspectives, Marginalized Perspectives, Historical Contexts, Cultural Contexts, Resistance, Agency, Trauma, Empowerment, Theoretical Approaches, Global Frameworks, Comparative Frameworks, Media, Form, Experimental Narratives"
2025-1269-forum-for,Forum for Contemporary Issues in Language and Literature,False,"Literature, Linguistics, Philosophy, Cultural studies"
2025-1258-katherine-mansfield,Katherine Mansfield Studies,False,Katherine Mansfield's Men
2025-1254-volume-18,Katherine Mansfield Studies,False,Katherine Mansfield’s Men
2025-1252-variations-of,Crossroads. A Journal of English Studies,True,"Non-Anthropocentric Humor, Racial and Gender (Anti-)Essentialism, Intersections of Humor and Horror, The Introspective Turn, Digital Humor, Right-Wing Humor, Alternative comedy"
2025-1248-minimalist-digital,Journal of Interactive Technology and Pedagogy (JITP),True,Minimalist Digital Humanities Pedagogy
2025-1246-post911-representation,European Journal of American Culture,True,"Allegories, Intertexts of 9/11, War on terror, Sci-fi, Fantasy and themes of the war on terror, War poetry, War elegies, Sport and games as surrogates for war, Language, Semiotics, Reshaping of what can and cannot be said, Memes, Gifs, Images and social media, Cultural resistance and activism, Jingoism and the play of patriotism, Post-9/11 video, Table top, Card games, Reshaping of the gender order in post-9/11 cultural productions, Genre, Genre theory"
2025-1241-jewish-film,Jewish Film and New Media,False,"International cinema, Television, New media, Jewish film"
2025-1266-the-writings,the journal,False,"Education, Literature, Business, Psychology, Political Science, Computer Science, Biology, Health Sciences, Bible"
2025-1239-cfp-tiphys,Tiphys,False,"Aegean history, Mycenaean palaces, Polis formation, urban revolution, archaeology, history, philology, anthropology"
2025-1238-peter-nicholls,Foundation,False,"science fiction, academic study of science fiction"
2025-1237-i-cine,International Journal of Film and Media Arts,True,"gender studies, feminist film theory, representation, intersectionality, women in film, non-binary individuals in film"
2025-1230-updating-ecocriticism,Updating Ecocriticism: Perspectives from Gen Z,True,"ecocriticism, environmental humanities, new media, digitalization, planetary ethics"
